163840,1638400,16384000,163840000,1638400000,16384000000,163840000000
219.8,209.2,833.8,7794.3,76265.8,760931.8,7586595.3
67.3,83.6,417.7,3729.2,35982.4,371058.9,3608595.7
334.6,331,548.7,4822.4,46065.6,472828.1,4586871.3
218.7,211.3,978.8,9602,90761.7,910492.4,9089844.7
46.5,720.7,8163,81626,818941.9,7982884.3,7839147.7
81.7,187.2,1182,11187.1,108345,1081088.4,10824432.5
105.4,596.1,5643.6,59112.4,565444.6,5308391.7,53272623
77.6,150.3,1007.8,9167,90180.4,891344.5,8887951.2
81.6,160.9,1192.9,11701.9,111826.2,1122143.1,11182539.5
46.2,1324.8,12947.5,122757.6,1278499.5,12386966.5,886654.1
58.8,210,1431,12976,125956.8,1180428.6,11836315.7
